case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,conf_correct_mean,conf_wrong_mean,calibration_gap,brier,confident_errors,confident_error_rate,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,0.869,0.9,-0.031,0.107,1,0.111,3,9,0,0,~N^2,5588,2752,20.72,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,8,8,0,0,0,1.0,1.0,1.0,0.904,,,0.011,0,0.0,5,8,0,0,~N^2,6562,3776,26.25,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,0.894,0.65,0.244,0.059,0,0.0,3,9,0,19,~N,9139,4992,44.2,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,8,7,1,1,0,0.875,0.875,0.875,0.916,0.85,0.066,0.097,1,0.125,5,8,0,19,~N,8016,3840,32.54,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,0.92,0.85,0.07,0.086,1,0.111,3,9,0,19,~N,9398,5120,35.08,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.873,0.86,0.013,0.098,1,0.111,3,9,0,0,~N^2,7007,4160,40.33,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.762,0.8,-0.038,0.124,1,0.111,3,9,0,0,~N^2,7729,4864,41.53,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.886,0.6,0.286,0.054,0,0.0,3,9,0,0,~N^2,7110,4352,34.41,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.866,0.75,0.116,0.08,0,0.0,3,9,0,19,~N,8782,4736,34.78,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.891,0.8,0.091,0.082,1,0.111,3,9,0,19,~N,10747,6720,46.66,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.905,0.88,0.025,0.095,1,0.111,3,9,0,19,~N,7400,3392,23.79,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,8,8,0,0,0,1.0,1.0,1.0,0.809,,,0.042,0,0.0,5,8,0,0,~N^2,6089,3328,24.3,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,9,8,1,0,0,0.889,1.0,0.941,0.794,0.75,0.044,0.104,0,0.0,3,9,0,0,~N^2,6019,3264,22.16,gpt-5-nano
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,8,7,1,1,0,0.875,0.875,0.875,0.809,0.7,0.109,0.101,0,0.0,5,8,0,0,~N^2,8080,5312,37.3,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_inert,8,7,1,1,0,0.875,0.875,0.875,0.841,0.8,0.041,0.108,1,0.125,5,8,0,19,~N,8493,4544,34.28,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_inert,9,8,1,0,0,0.889,1.0,0.941,0.9,0.85,0.05,0.09,1,0.111,3,9,0,19,~N,9912,5952,41.43,gpt-5-nano
config_evpn_indeplex,openai-agent(ref),True,both_inert,9,8,1,0,0,0.889,1.0,0.941,0.825,0.65,0.175,0.077,0,0.0,3,9,0,19,~N,7959,4032,30.89,gpt-5-nano
