case,model,placement,level_pairs,divergence,uses_reference,trial,precision,recall,surviving_false_cognates,residual,confident_errors,confident_error_rate,conf_wrong_mean,calibration_gap,reasoning_tokens,surviving_traps
config_evpn,gpt-5-nano,both_inert,4,0.5,True,0,1.0,1.0,0,5,0,0.0,,,7616,
config_evpn,gpt-5-nano,both_inert,4,0.5,True,1,0.889,1.0,0,3,1,0.111,0.85,0.03,4736,
config_evpn,gpt-5-nano,both_inert,4,0.5,True,2,0.889,1.0,0,3,1,0.111,0.8,0.067,5248,
config_evpn,gpt-5-nano,both_inert,4,0.5,True,3,0.889,1.0,0,3,0,0.0,0.7,0.09,5120,
config_evpn,gpt-5-nano,both_inert,6,0.75,True,0,0.889,1.0,0,3,0,0.0,0.6,0.225,5312,
config_evpn,gpt-5-nano,both_inert,6,0.75,True,1,0.889,1.0,0,3,1,0.111,0.83,0.046,4672,
config_evpn,gpt-5-nano,both_inert,6,0.75,True,2,0.889,1.0,0,3,1,0.111,0.8,0.111,7872,
config_evpn,gpt-5-nano,both_inert,6,0.75,True,3,1.0,1.0,0,5,0,0.0,,,5824,
config_evpn,gpt-5-nano,both_inert,8,1.0,True,0,0.889,1.0,0,3,1,0.111,0.8,0.012,7360,
config_evpn,gpt-5-nano,both_inert,8,1.0,True,1,0.875,0.875,0,5,0,0.0,0.55,0.356,3712,
config_evpn,gpt-5-nano,both_inert,8,1.0,True,2,0.889,1.0,0,3,1,0.111,0.85,0.055,5120,
config_evpn,gpt-5-nano,both_inert,8,1.0,True,3,0.889,1.0,0,3,1,0.111,0.88,0.019,5376,
config_evpn,gpt-5-nano,both_inert,0,0.0,False,0,0.889,1.0,0,3,0,0.0,0.68,0.117,3712,
config_evpn,gpt-5-nano,both_inert,0,0.0,False,1,0.889,1.0,0,3,0,0.0,0.7,0.054,3968,
config_evpn,gpt-5-nano,both_inert,0,0.0,False,2,0.889,1.0,0,3,0,0.0,0.7,0.041,5312,
config_evpn,gpt-5-nano,both_inert,0,0.0,False,3,0.875,0.875,0,5,0,0.0,0.75,0.079,5376,
config_evpn,gpt-5-nano,both_inert,8,1.0,False,0,1.0,1.0,0,5,0,0.0,,,5312,
config_evpn,gpt-5-nano,both_inert,8,1.0,False,1,0.889,1.0,0,3,1,0.111,0.92,-0.074,3776,
config_evpn,gpt-5-nano,both_inert,8,1.0,False,2,0.889,1.0,0,3,0,0.0,0.65,0.2,3968,
config_evpn,gpt-5-nano,both_inert,8,1.0,False,3,0.889,1.0,0,3,1,0.111,0.8,0.0,4352,
